graph,instance,algorithm,requests,robots,capacity,demand,num_instance,isBigTW,cost,time,distance,used_vehicles,used_max,used_min,used_mean,computational_time
mountain,3HR_6Q_50RQT_2q_bigTW_9,MILP,50,3,6,2,9,True,870.0,1007.0,860.0,1.0,860.0,860.0,860.0,5.8
mountain,3HR_6Q_50RQT_2q_bigTW_9,Heuristic,50,3,6,2,9,True,870.0,1007.0,860.0,1.0,860.0,860.0,860.0,0.1678609848022461
mountain,3HR_6Q_50RQT_3q_bigTW_9,MILP,50,3,6,3,9,True,870.0,1007.0,860.0,1.0,860.0,860.0,860.0,6.36
mountain,3HR_6Q_50RQT_3q_bigTW_9,Heuristic,50,3,6,3,9,True,870.0,1007.0,860.0,1.0,860.0,860.0,860.0,0.16510796546936035
mountain,6HR_6Q_50RQT_2q_3,MILP,50,6,6,2,3,False,816.0,945.0,796.0,2.0,554.0,242.0,398.0,0.89
mountain,6HR_6Q_50RQT_2q_3,Heuristic,50,6,6,2,3,False,816.0,945.0,796.0,2.0,554.0,242.0,398.0,0.1607980728149414
mountain,6HR_6Q_50RQT_2q_4,MILP,50,6,6,2,4,False,880.0,997.0,860.0,2.0,628.0,232.0,430.0,1.43
mountain,6HR_6Q_50RQT_2q_4,Heuristic,50,6,6,2,4,False,880.0,993.0,860.0,2.0,628.0,232.0,430.0,0.1499168872833252
mountain,6HR_6Q_100RQT_2q_bigTW_2,MILP,100,6,6,2,2,True,1586.0,1863.0,1576.0,1.0,1576.0,1576.0,1576.0,15.34
mountain,6HR_6Q_100RQT_2q_bigTW_2,Heuristic,100,6,6,2,2,True,1578.0,1865.0,1568.0,1.0,1568.0,1568.0,1568.0,0.6677289009094238
mountain,6HR_6Q_100RQT_3q_bigTW_2,MILP,100,6,6,3,2,True,1584.0,1863.0,1574.0,1.0,1574.0,1574.0,1574.0,15.23
mountain,6HR_6Q_100RQT_3q_bigTW_2,Heuristic,100,6,6,3,2,True,1578.0,1865.0,1568.0,1.0,1568.0,1568.0,1568.0,0.6649460792541504
mountain,3HR_6Q_50RQT_3q_bigTW_7,MILP,50,3,6,3,7,True,898.0,1053.0,888.0,1.0,888.0,888.0,888.0,6.73
mountain,3HR_6Q_50RQT_3q_bigTW_7,Heuristic,50,3,6,3,7,True,898.0,1053.0,888.0,1.0,888.0,888.0,888.0,0.16335320472717285
mountain,3HR_6Q_50RQT_2q_bigTW_7,MILP,50,3,6,2,7,True,898.0,1053.0,888.0,1.0,888.0,888.0,888.0,6.37
